ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
2,49,488.6058394160584,419.1678832116788,0,49
2,50,328.50171821305844,431.93470790378007,0,50
2,51,670.0529100529101,430.64550264550263,0,51
2,52,531.7992565055762,437.26022304832713,0,52
2,53,510.9806763285024,438.2028985507246,0,53
2,54,693.5964523281597,449.5920177383592,0,54
2,55,490.92765957446807,442.4,0,55
2,56,714.0413043478261,455.8934782608696,0,56
2,57,735.03367003367,456.91582491582494,0,57
2,58,354.0511627906977,453.71627906976744,0,58
2,59,338.1058020477816,465.518771331058,0,59
2,60,774.3465346534654,465.58415841584156,0,60
2,61,374.01395348837207,471.63255813953486,0,61
2,62,754.7008310249307,480.45429362880884,0,62
2,63,797.4013157894736,487.54605263157896,0,63
2,64,778.2712418300654,496.29411764705884,0,64
2,65,383.36138613861385,640.6485148514852,0,65
2,66,406.93898305084747,661.7423728813559,0,66
2,67,388.1767441860465,667.5488372093023,0,67
2,68,433.18152866242036,682.9808917197453,0,68
2,69,644.8333333333334,701.5585585585585,0,69
2,70,620.4533333333334,705.2711111111112,0,70
2,71,708.5747800586511,751.7536656891496,0,71
2,72,540.2232142857143,760.6830357142857,0,72
2,73,691.0194552529183,769.8015564202335,0,73
2,74,712.6237113402062,790.0231958762887,0,74
2,75,539.3389830508474,789.042372881356,0,75
2,76,669.6628352490421,787.9846743295019,0,76
2,77,564.4709677419355,798.9709677419355,0,77
2,78,277.3324396782842,815.4798927613941,0,78
2,79,586.8608414239483,818.2750809061489,0,79
2,80,249.804,830.852,0,80
2,81,301.05776892430276,836.7250996015936,0,81
2,82,284.8811881188119,835.5544554455446,0,82
2,83,266.19458128078816,851.0911330049261,0,83
2,84,168.3183520599251,843.689138576779,0,84
2,85,736.6412556053812,847.2421524663677,0,85
2,86,285.72847682119203,858.3675496688742,0,86
2,87,44.50840336134454,863.9663865546219,0,87
2,88,751.2191780821918,867.5981735159818,0,88
2,89,247.15350877192984,869.3728070175439,0,89
2,90,447.08290155440415,870.6165803108809,0,90
2,91,73.27152317880795,874.7682119205298,0,91
2,92,275.37007874015745,875.7480314960629,0,92
2,93,265.3303964757709,887.3700440528635,0,93
2,94,288.1492957746479,894.0281690140845,0,94
2,95,467.6227272727273,888.1772727272727,0,95
2,96,512.0325732899023,958.4755700325733,0,96
3,1,961.6592592592592,46.29259259259259,0,1
3,2,426.34939759036143,55.316265060240966,0,2
3,3,643.2824427480916,69.3791348600509,0,3
3,4,246.83597883597884,61.71957671957672,0,4
3,5,434.55078125,84.6484375,0,5
3,6,222.52601156069363,80.73988439306359,0,6
3,7,614.2521739130435,95.72463768115942,0,7
3,8,570.406015037594,103.24561403508773,0,8
3,9,788.3145336225597,137.9891540130152,0,9
3,10,821.431279620853,142.6872037914692,0,10
3,11,840.4598930481284,156.18716577540107,0,11
3,12,759.020325203252,159.22357723577235,0,12
3,13,315.2029520295203,168.70110701107012,0,13
3,14,345.9580152671756,168.39312977099237,0,14
3,15,731.9372549019607,170.9686274509804,0,15
3,16,750.1559633027523,184.13302752293578,0,16
3,17,734.4157303370787,202.15168539325842,0,17
3,18,726.8619047619047,225.65714285714284,0,18
3,19,533.9085714285715,227.06,0,19
3,20,700.5479452054794,233.75342465753425,0,20
3,21,494.24418604651163,240.42151162790697,0,21
3,22,530.6593059936909,255.9274447949527,0,22
3,23,727.5410334346504,245.94224924012158,0,23
3,24,556.8979591836735,248.8877551020408,0,24
3,25,509.90816326530614,254.28571428571428,0,25
3,26,690.1804733727811,254.7337278106509,0,26
3,27,486.2182741116751,264.81218274111677,0,27
3,28,546.0673575129533,268.65284974093265,0,28
3,29,721.9282868525896,267.76892430278883,0,29
3,30,501.6801242236025,279.5745341614907,0,30
3,31,691.7871485943775,274.855421686747,0,31
3,32,634.4291497975709,422.668016194332,0,32
3,33,603.1245421245421,428.7032967032967,0,33
3,34,540.9010989010989,431.260989010989,0,34
3,35,500.9138461538462,431.6984615384615,0,35
3,36,662.2307692307693,449.1712158808933,0,36
3,37,644.4944444444444,439.23333333333335,0,37
3,38,564.6115241635688,448.31040892193306,0,38
3,39,622.3895348837209,447.7267441860465,0,39
3,40,524.9955654101996,458.0709534368071,0,40
3,41,489.5064599483204,455.1963824289406,0,41
3,42,593.7469879518072,458.4457831325301,0,42
3,43,251.15533980582524,460.19417475728153,0,43
3,44,674.5348189415042,468.1476323119777,0,44
3,45,633.3270142180095,463.92890995260666,0,45
3,46,392.474537037037,478.25925925925924,0,46
3,47,220.3048780487805,473.375,0,47
3,48,560.7785714285715,470.97857142857146,0,48
3,49,478.9928825622776,472.4163701067616,0,49
3,50,609.3539094650206,473.0576131687243,0,50
3,51,270.1575342465753,475.777397260274,0,51
3,52,513.3624161073825,478.758389261745,0,52
3,53,641.5833333333334,487.98333333333335,0,53
3,54,301.98275862068965,482.21724137931034,0,54
3,55,628.125,479.6,0,55
3,56,241.1360946745562,484.3905325443787,0,56
3,57,564.9882005899705,490.39233038348084,0,57
3,58,360.40712468193385,495.45547073791346,0,58
3,59,446.5048076923077,485.8173076923077,0,59
3,60,528.1244167962675,506.02954898911355,0,60
3,61,584.9301075268817,498.80645161290323,0,61
3,62,494.5104895104895,490.6923076923077,0,62
3,63,472.56962025316454,490.7510548523207,0,63
3,64,613.8357487922706,492.81159420289856,0,64
3,65,256.71875,496.03125,0,65
3,66,205.04166666666666,496.85714285714283,0,66
3,67,288.4985915492958,499.31267605633803,0,67
3,68,663.952380952381,499.09090909090907,0,68
3,69,508.94163424124514,500.80155642023345,0,69
3,70,226.1280487804878,500.2560975609756,0,70
3,71,481.0126050420168,509.23949579831935,0,71
3,72,456.9535864978903,514.7130801687764,0,72
3,73,596.8362068965517,515.4612068965517,0,73
3,74,615.2324723247233,518.630996309963,0,74
3,75,555.4425531914893,514.6170212765958,0,75
3,76,639.6936936936937,515.6126126126126,0,76
3,77,262.6974063400576,516.3314121037464,0,77
3,78,500.1980198019802,517.1089108910891,0,78
3,79,662.7028985507246,522.6811594202899,0,79
3,80,533.4882629107981,529.4366197183099,0,80
3,81,573.3534031413612,539.2853403141361,0,81
3,82,483.9446808510638,528.7531914893617,0,82
3,83,551.6972789115646,539.7721088435375,0,83
3,84,634.5436507936508,535.6150793650794,0,84
3,85,595.1068702290077,545.1068702290077,0,85
3,86,499.367816091954,544.7854406130268,0,86
3,87,517.9529411764706,541.2117647058824,0,87
3,88,823.0888252148997,554.9828080229227,0,88
3,89,645.248322147651,555.2684563758389,0,89
3,90,615.6839378238342,552.1554404145078,0,90
3,91,521.4965034965035,554.9755244755245,0,91
3,92,540.8652849740932,568.919689119171,0,92
3,93,606.0267379679144,570.8395721925134,0,93
3,94,577.6346749226007,570.8792569659443,0,94
3,95,875.5294117647059,576.3882352941176,0,95
3,96,847.5879120879121,578.8021978021978,0,96
3,97,884.707182320442,594.6132596685082,0,97
3,98,858.4521276595744,598.031914893617,0,98
3,99,517.4955357142857,673.1071428571429,0,99
3,100,844.0917874396135,683.4444444444445,0,100
3,101,519.306976744186,702.5674418604651,0,101
3,102,296.39830508474574,698.478813559322,0,102
