ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
3,11,801.39972899729,365.3360433604336,0,11
3,12,117.04451038575668,353.2818991097923,0,12
3,13,379.0257510729614,360.51824034334766,0,13
3,14,140.6,349.35833333333335,0,14
3,15,191.23661670235546,358.3404710920771,0,15
3,16,68.2027972027972,360.87412587412587,0,16
3,17,104.12688821752266,369.3141993957704,0,17
3,18,388.81720430107526,362.247311827957,0,18
3,19,302.69933774834436,376.4860927152318,0,19
3,20,590.471032745592,381.30982367758185,0,20
3,21,103.32184950135992,390.0616500453309,0,21
3,22,584.5711009174312,411.3211009174312,0,22
3,23,770.6088794926004,469.25581395348837,0,23
3,24,585.0384047267356,525.231905465288,0,24
3,25,690.2908438061041,625.6741472172351,0,25
3,26,417.086642599278,655.9025270758123,0,26
3,27,191.75460992907801,740.7744680851064,0,27
3,28,612.7731367731368,736.050778050778,0,28
3,29,176.19976771196283,756.1939605110337,0,29
3,30,895.9008097165992,874.4790823211875,0,30
3,31,826.0300632911392,895.006329113924,0,31
3,32,805.4096385542168,941.2710843373494,0,32
4,1,572.8010540184454,155.81159420289856,0,1
4,2,790.7096774193549,140.07478005865102,0,2
4,3,147.01351351351352,184.8166023166023,0,3
4,4,756.4622302158274,230.30395683453239,0,4
4,5,772.0591133004926,245.33661740558293,0,5
4,6,411.1958128078818,268.8731527093596,0,6
4,7,325.5988372093023,302.5484496124031,0,7
4,8,272.20985401459853,322.60766423357666,0,8
4,9,300.87227074235807,335.36353711790395,0,9
4,10,301.509900990099,322.58910891089107,0,10
4,11,238.64928057553956,395.76978417266184,0,11
4,12,227.78738738738738,520.027027027027,0,12
4,13,196.35946924004824,549.1049457177322,0,13
4,14,684.5501022494888,526.1083844580777,0,14
4,15,516.5553145336225,547.9934924078091,0,15
4,16,206.928,558.256,0,16
4,17,214.00196463654223,574.2416502946954,0,17
4,18,532.7949138638228,610.6374077112387,0,18
4,19,501.48237179487177,605.5160256410256,0,19
4,20,471.64328657314627,653.7555110220441,0,20
4,21,727.7268722466961,649.5110132158591,0,21
4,22,454.2738095238095,720.1,0,22
4,23,766.1454545454545,811.2348484848485,0,23
4,24,949.644591611479,803.9492273730684,0,24
4,25,657.8208516886931,889.0587371512481,0,25
4,26,639.1097122302158,899.6708633093525,0,26
4,27,902.281124497992,933.5763052208836,0,27
5,1,779.4743742550655,166.03396901072705,0,1
5,2,266.12008978675647,264.77104377104376,0,2
5,3,300.2363238512035,274.89715536105035,0,3
5,4,308.1284046692607,332.6536964980545,0,4
5,5,694.8296875,372.9140625,0,5
5,6,738.9972144846797,404.0793871866295,0,6
5,7,623.7292817679559,594.9226519337017,0,7
5,8,435.5847389558233,656.663453815261,0,8
5,9,670.3627608346709,630.0304975922953,0,9
5,10,778.2141255605382,655.737668161435,0,10
5,11,798.0492957746479,667.1478873239437,0,11
5,12,344.84705882352944,773.6666666666666,0,12
5,13,398.9205298013245,789.317880794702,0,13
5,14,293.38640132669985,796.1857379767828,0,14
5,15,116.64511494252874,837.403735632184,0,15
5,16,94.602,841.4,0,16
5,17,898.4860557768924,895.8326693227092,0,17
6,1,414.8780487804878,153.18780487804878,0,1
6,2,513.6954314720812,191.6548223350254,0,2
6,3,575.3347368421053,188.8778947368421,0,3
6,4,915.0231839258114,237.26893353941267,0,4
6,5,862.491282051282,229.64102564102564,0,5
6,6,705.2911051212938,220.544474393531,0,6
6,7,462.37797356828196,523.8511013215859,0,7
6,8,532.4950495049505,521.1524752475248,0,8
6,9,474.59287054409003,542.0619136960601,0,9
6,10,699.8126272912424,757.714867617108,0,10
6,11,392.21627906976744,877.5883720930233,0,11
6,12,224.3344768439108,935.5866209262435,0,12
7,1,284.1753246753247,88.39448051948052,0,1
7,2,649.8169312169313,87.46984126984127,0,2
7,3,414.0010288065844,93.79835390946502,0,3
7,4,303.9912739965096,102.43630017452007,0,4
7,5,691.540059347181,108.99258160237389,0,5
7,6,665.0729517396184,179.77104377104376,0,6
7,7,692.2711656441718,211.41717791411043,0,7
7,8,208.43617021276594,221.7836879432624,0,8
7,9,226.2377972465582,239.00625782227786,0,9
7,10,693.203182374541,247.83843329253367,0,10
7,11,643.7669291338583,243.02047244094487,0,11
7,12,264.1309352517986,251.068345323741,0,12
7,13,272.8809523809524,259.45238095238096,0,13
7,14,636.8928571428571,267.25669642857144,0,14
7,15,290.2859633827376,270.20401046207496,0,15
7,16,204.08444444444444,277.51222222222225,0,16
7,17,577.0413223140496,299.24203069657614,0,17
7,18,722.3767361111111,323.5677083333333,0,18
7,19,939.6809954751131,354.19457013574663,0,19
7,20,944.3200692041522,381.4498269896194,0,20
7,21,703.796711509716,399.2780269058296,0,21
7,22,753.5040871934605,402.732970027248,0,22
7,23,799.4694915254237,406.6033898305085,0,23
7,24,501.4060324825986,495.12064965197214,0,24
7,25,410.62013729977116,664.8032036613272,0,25
7,26,574.4093686354379,668.511201629328,0,26
7,27,571.1245753114383,690.5775764439411,0,27
7,28,332.8666666666667,825.6040404040403,0,28
7,29,675.4734513274336,878.8672566371681,0,29
7,30,497.1931818181818,912.5397727272727,0,30
7,31,583.8156342182891,945.7345132743363,0,31
7,32,526.1811594202899,923.8623188405797,0,32
7,33,637.0677165354331,942.8551181102363,0,33
8,1,518.6974789915967,107.1484593837535,0,1
8,2,513.5543710021321,151.45628997867803,0,2
8,3,287.19434194341943,163.42435424354244,0,3
8,4,666.9749103942652,171.22401433691758,0,4
8,5,620.185667752443,190.36970684039088,0,5
8,6,405.33145539906104,218.45070422535213,0,6
8,7,571.0729166666666,230.1279761904762,0,7
8,8,461.0195246179966,229.12648556876061,0,8
8,9,377.71140939597313,240.95973154362417,0,9
8,10,390.64875239923225,247.12667946257199,0,10
8,11,333.72080291970804,259.5985401459854,0,11
8,12,912.6742556917688,253.04203152364272,0,12
8,13,353.71725571725574,264.96465696465697,0,13
8,14,408.05357142857144,250.46428571428572,0,14
8,15,399.5712630359212,268.4264194669757,0,15
8,16,369.2072072072072,268.77477477477476,0,16
8,17,704.076495132128,288.28789986091795,0,17
8,18,618.5211970074813,291.4189526184539,0,18
8,19,372.4767441860465,321.1209302325581,0,19
8,20,642.0816864295125,309.7285902503294,0,20
8,21,907.6777456647399,339.90895953757223,0,21
8,22,608.0844827586207,338.13965517241377,0,22
8,23,582.876179245283,365.2393867924528,0,23
8,24,912.2749140893471,423.9776632302405,0,24
8,25,680.6174016686532,491.0190703218117,0,25
8,26,650.2005457025921,529.6862210095497,0,26
8,27,411.8056872037915,548.6998420221169,0,27
8,28,642.2130898021309,550.2450532724505,0,28
8,29,664.5927601809955,588.6440422322776,0,29
8,30,696.3694117647059,614.035294117647,0,30
8,31,408.95418641390205,623.6429699842022,0,31
8,32,374.79059278350513,669.1333762886597,0,32
8,33,102.16044776119404,629.4925373134329,0,33
8,34,424.2570281124498,641.4096385542168,0,34
